,chebyshev,boosting,random,uniform,supervised_model
Signal1-freq:10.061695813863961,0.2741107894809159,0.411806729000055,0.23235642294793724,0.11715777963230253,0.29078976041625865
Signal2-freq:10.200586688570295,0.2859316087565515,0.42529420319649225,0.24298471217436204,0.12259911149197882,0.24158576050813316
Signal3-freq:10.335763039689837,0.31009303270977595,0.4561922626553727,0.2641065068264712,0.13368073065045064,0.2013914693203776
Signal4-freq:10.461500521162227,0.3187644198934743,0.4638922775380474,0.2744080504858021,0.13793428611844857,0.15065581664769806
Signal5-freq:10.596758816951679,0.329197782844151,0.4734847192651157,0.2816513926474854,0.14343502485616516,0.16255498589237624
Signal6-freq:10.740533537741248,0.3731063344619651,0.5304233062390936,0.3214530694966395,0.16287654969384507,0.22298741470471461
Signal7-freq:10.867627651290611,0.34352230875013157,0.48270114323080804,0.29190670261426055,0.15064231475064266,0.20848662946611488
Signal8-freq:11.002697452283291,0.3729113929818877,0.5189951794836329,0.3164192490457065,0.16466610646646823,0.26512288692788455
Signal9-freq:11.131561697013534,0.4022893972900751,0.5539359337256383,0.3410627238266204,0.1784189657713453,0.3211831342444949
Signal10-freq:11.266239451201793,0.36897203447980936,0.5015261607424581,0.31428450277282227,0.1648203059940351,0.28255791145525594
Signal11-freq:11.400541914986338,0.40231964470434173,0.5410229822562698,0.3405199864141728,0.18009544184910825,0.3450722684544754
Signal12-freq:11.533437621936166,0.4588171152939131,0.6092804241877728,0.38826475026912116,0.20655534950459903,0.3354658236951416
Signal13-freq:11.67023591918228,0.4416341604685291,0.5795742746133807,0.379706017681166,0.20026118591041292,0.30750580775592623
Signal14-freq:11.79868425926778,0.4939962829962167,0.6422839220786226,0.4234959326601683,0.2259729677207896,0.38042472143470024
Signal15-freq:11.92998927091582,0.4646438735706467,0.589614289589674,0.3931611010981503,0.212434975914251,0.3616337720693961
Signal16-freq:12.066919793297266,0.46442686710877706,0.5977319838450512,0.40029848380876953,0.21682449707326193,0.361196802751774
Signal17-freq:12.195785659319395,0.5065299483545097,0.6285421287024733,0.4276887405659989,0.23446312763734242,0.42103778974820694
Signal18-freq:12.33216634164435,0.5572987291972433,0.6902820988500027,0.4773249868930358,0.261130338320657,0.4570776179018754
Signal19-freq:12.463495507593345,0.5622729283594589,0.686330439633501,0.4810219009803459,0.26478277342802575,0.42272272170035613
Signal20-freq:12.603350219138163,0.5389446072630776,0.6456873197936842,0.4587174656776724,0.2543272079109202,0.34790936714775644
Signal21-freq:12.734370056592239,0.5758131989336601,0.684243755442247,0.4816900365266082,0.2752260837933314,0.4238767259642722
