,chebyshev,boosting,random,uniform,supervised_model
Signal20-freq:3.0656194414920837,0.003614831655588247,0.008916351479898263,0.003344363539025429,0.0018373248154890576,0.0011223332064398664
Signal21-freq:3.1741318806869447,0.0043338529091368795,0.009919291138382403,0.003969752298315132,0.0020544705450709065,0.0011213664034347439
Signal22-freq:3.2818155208542117,0.0034223146910542313,0.007969951908003418,0.0031819991504553912,0.0016434248679423865,0.0009331105023971337
Signal23-freq:3.3807171847898974,0.005634693559389998,0.012794827691009515,0.005001775691193187,0.0026346474755958144,0.0014566592800159936
Signal24-freq:3.490388791778937,0.006301316512403104,0.01452476396305496,0.0056480261586751455,0.0029633448720949645,0.001672355499199301
Signal25-freq:3.5973924796112238,0.006368300093746702,0.014384899226392783,0.00579178625218199,0.0028994079614514294,0.0015566936798845897
Signal26-freq:3.6922216128458016,0.0073917340354889075,0.016551499545355213,0.006852718021224279,0.003452669220531057,0.002409799291573927
Signal27-freq:3.8078573600160706,0.008222298610969452,0.018207030241095955,0.007437585145941125,0.0035939001862448678,0.002213430275528479
Signal28-freq:3.9061215278362136,0.008906123668035025,0.01963820336044573,0.008154163081797122,0.003959278764544403,0.0022184398215501465
Signal29-freq:4.016719392074461,0.010148782665353628,0.02227222482146504,0.009161325738632596,0.004436789702194386,0.002569103773214183
Signal30-freq:4.120753064612239,0.01127863295508641,0.02461293145662123,0.010137088871248978,0.004872948750229823,0.0028821966439139175
Signal31-freq:4.230487795621441,0.012394110685877006,0.026626377016777645,0.011041763366290099,0.005311379472030189,0.003148531084684859
Signal32-freq:4.3361802755323255,0.013472681681032139,0.028833997521581303,0.012005021371524063,0.005613398193015048,0.002905013443425947
Signal33-freq:4.4426432100518,0.017018276508980877,0.03625251020476325,0.015437901068344983,0.007204352098123652,0.003750164643956075
Signal34-freq:4.550823449041696,0.01625614845973879,0.03453777010862904,0.01429589005524049,0.0069153664910733435,0.003184245082466002
Signal35-freq:4.662754786331132,0.014711134801650348,0.031097842986726524,0.013351069495847906,0.006191256164707009,0.0029028625542120395
Signal36-freq:4.75739429555504,0.016786148155210893,0.0349455041618928,0.014687812165313284,0.0068552436632976,0.003494984667111187
Signal37-freq:4.867297891524519,0.02448819618292821,0.05116982719940919,0.02173520841067911,0.009822476177227384,0.005378252564771643
Signal38-freq:4.964730536356468,0.024342690674961497,0.05024497158671974,0.021200064369803727,0.010069019103176402,0.006242441022534948
Signal39-freq:5.073198044160998,0.02657571750230643,0.05489397029998565,0.02327427892920064,0.010770890413864215,0.011807183337127635
Signal40-freq:5.181225844592916,0.024146902015293882,0.04949828395140945,0.021221897878686353,0.009549217413264262,0.008436390084029516
Signal41-freq:5.287756734901849,0.029296052216748726,0.05973941089289893,0.02583977101156381,0.011762099267223823,0.008003597800746089
Signal42-freq:5.3904632520609574,0.03342145577158872,0.06820579007808174,0.029413109286000005,0.013600531240172669,0.008381509994334506
Signal43-freq:5.503700679145097,0.033633945978410386,0.06817732383877624,0.030103476314294362,0.013739012527506827,0.0076397369011223
Signal44-freq:5.610268280794425,0.03275667906298082,0.0652550446665459,0.028420529998068614,0.013070247155860349,0.007721581220028925
Signal45-freq:5.707155807114795,0.03763865795700855,0.07653821589724794,0.03265731088858488,0.015420227279482342,0.00951155833646963
Signal46-freq:5.81064086591821,0.04043882458273622,0.07969666790413045,0.03572589227744278,0.015958195690191832,0.009160439137530327
Signal47-freq:5.917529745792528,0.04154479518111236,0.08301485807007504,0.03577466209180705,0.017069898056959673,0.009913549022627621
Signal48-freq:6.02908977837505,0.03235214508158905,0.06530751419755682,0.028135405904763156,0.013023633142460274,0.01359791104463768
Signal49-freq:6.141548606293593,0.05159389401817717,0.09756884694568947,0.044115621092059756,0.020821308417194335,0.017385205228667967
Signal50-freq:6.232071923512083,0.05384777988886509,0.1028291627788942,0.04731986658729514,0.02155234564971626,0.011206341610993343
Signal51-freq:6.348464475181746,0.06086565817334637,0.11627910432809013,0.052761119913412015,0.024342702718530337,0.011385255667957797
Signal52-freq:6.454710284851777,0.060430179781667086,0.1148916385543517,0.05075231063966413,0.024272338378783148,0.01179433601138815
Signal53-freq:6.555244172722929,0.072055879743246,0.1365499248842074,0.06178483369325427,0.02862353960880277,0.012963094537171878
Signal54-freq:6.6620199814714,0.06977989772621003,0.13116433609585904,0.0619792882443023,0.027673731609357516,0.012584971412162591
Signal55-freq:6.767182784503306,0.07328338864772956,0.13707074441996844,0.06230410424952639,0.028842473768720577,0.011883001574475202
Signal56-freq:6.878828461005265,0.08171506847770871,0.15160456291692306,0.07077717048064383,0.03276610278635907,0.013658469451131187
Signal57-freq:6.992408202025758,0.08269457640982461,0.15229802223455047,0.07038244508008608,0.03297530933812736,0.013894622650413795
Signal58-freq:7.090416595677613,0.09475666580926909,0.17363646693575452,0.08228284816494416,0.038110890280902,0.015470317753090632
Signal59-freq:7.189688712399557,0.08681638551408591,0.15842823893890595,0.07308649823930051,0.034546827593954485,0.015760036210529623
Signal60-freq:7.306084315286543,0.10275051320578837,0.18653790803719236,0.08670310480460619,0.04101466142865335,0.023012616817226328
Signal61-freq:7.404736196263829,0.10033589175031307,0.18134750046675874,0.0845113192246474,0.040251221280090864,0.03561002681652516
Signal62-freq:7.510034316018804,0.10516380452131396,0.1878457753001653,0.09173197921003257,0.042049461226133324,0.055198727274802746
Signal63-freq:7.6212287754246155,0.12833420572069626,0.22896181846375657,0.11194212264581072,0.05211743017667274,0.03646059922300157
Signal64-freq:7.730503773509177,0.11160057447867536,0.1968902039591927,0.09489179410633809,0.044420379036225574,0.029410209876532523
Signal65-freq:7.831863863514472,0.12156821948508177,0.21323560096979022,0.1074247317391569,0.04953688775031319,0.03182583678548581
Signal66-freq:7.925422434515292,0.13994881185373345,0.24424619994519975,0.11985303737727306,0.05675842663223806,0.04731358509192199
Signal67-freq:8.04439293726849,0.12608201896748528,0.21855990746306497,0.1100357739635335,0.0517173234500931,0.03761344199963071
Signal68-freq:8.143485636953736,0.13032532124058308,0.2237409014266707,0.11439138201327408,0.05247822970062406,0.036751432921898655
Signal69-freq:8.25435265612468,0.15572120498996886,0.26511025043159053,0.13651464012001147,0.06283991369900753,0.03304126395311397
Signal70-freq:8.35327858957671,0.15005224757468297,0.25455233107612635,0.12822468899737544,0.06127375449678204,0.03393527654229756
Signal71-freq:8.475754867685158,0.157507266491914,0.26489811588393036,0.13276786308464,0.06518118292438488,0.036158064855911096
Signal72-freq:8.579408045769654,0.14789545877615803,0.24618799588084503,0.1291670284782931,0.060471076463986355,0.03523829354234196
Signal73-freq:8.676462657613618,0.1892843959043499,0.3133222781872977,0.1644237825477322,0.07793609872251855,0.049044299325517814
Signal74-freq:8.770196437115898,0.18117717468345493,0.2983044900694434,0.15415787973918346,0.07539787050092388,0.04642390956568784
Signal75-freq:8.893931451667212,0.17027657851185368,0.2772202261987734,0.1456450265690037,0.07091970568749215,0.03754158266329279
Signal76-freq:8.991253359041009,0.20336509188290836,0.3304847747203001,0.1757447626823365,0.08360017954349086,0.05195058960348318
Signal77-freq:9.099182544019651,0.18861575299861882,0.3045136161894236,0.1541909976181584,0.07530349904927547,0.03973147412338278
Signal78-freq:9.200920433618144,0.21832048798800877,0.3491611440902777,0.18787799396591132,0.0901939323671093,0.043557070551952834
Signal79-freq:9.312535809424503,0.16312190987306624,0.25935462740807225,0.13966990022049522,0.06847849905995522,0.03636817502305679
Signal80-freq:9.428175490659436,0.20902128505486686,0.32975975928083384,0.17714552446269857,0.08769551904416101,0.051068440417822825
Signal81-freq:9.528642495785117,0.23525855868418752,0.36728211452820453,0.205843155768376,0.09786236280136963,0.05867627246522724
Signal82-freq:9.628273854832075,0.2448054351452509,0.37989337331236633,0.21238683985433116,0.10248061370844548,0.06567942634197857
Signal83-freq:9.730757156300434,0.2809751442071333,0.43134533749409604,0.23539826998621663,0.11659268591475878,0.08958472722108843
Signal84-freq:9.843632534178854,0.22438333363308133,0.3417060535181447,0.18972153002706504,0.09457144332065544,0.14272794540611067
Signal85-freq:9.949438111764435,0.30210940095473904,0.45694729375398396,0.25521041343290723,0.1279056813502189,0.15332641361573687
